2025-05-11 23:14:07.800 [main] INFO  lt.esdc.shapes.reader.InputDataReader - Reading shapes from file: shapes.txt
2025-05-11 23:14:07.809 [main] INFO  lt.esdc.shapes.repository.ShapeRepository - Saved shape with id: 1
2025-05-11 23:14:07.822 [main] INFO  lt.esdc.shapes.storage.Warehouse - Updated shape ID 1: Area = 23.561944901923447, Perimeter = 21.92836690727493
2025-05-11 23:14:07.824 [main] INFO  lt.esdc.shapes.repository.ShapeRepository - Saved shape with id: 2
2025-05-11 23:14:07.824 [main] INFO  lt.esdc.shapes.storage.Warehouse - Updated shape ID 2: Area = 37.69911184307752, Perimeter = 22.103491790916742
2025-05-11 23:14:07.824 [main] INFO  lt.esdc.shapes.repository.ShapeRepository - Saved shape with id: 3
2025-05-11 23:14:07.824 [main] INFO  lt.esdc.shapes.storage.Warehouse - Updated shape ID 3: Area = 109.95574287564276, Perimeter = 37.96136732875541
2025-05-11 23:14:07.824 [main] INFO  lt.esdc.shapes.repository.ShapeRepository - Saved shape with id: 4
2025-05-11 23:14:07.825 [main] INFO  lt.esdc.shapes.storage.Warehouse - Updated shape ID 4: Area = 5.890486225480862, Perimeter = 8.657238985187856
2025-05-11 23:14:07.825 [main] WARN  lt.esdc.shapes.reader.InputDataReader - Validation failed: Invalid oval format. Expected: Oval: «x1; y1; x2; y2»;
2025-05-11 23:14:07.825 [main] INFO  lt.esdc.shapes.repository.ShapeRepository - Saved shape with id: 5
2025-05-11 23:14:07.825 [main] INFO  lt.esdc.shapes.storage.Warehouse - Updated shape ID 5: Area = 8.246680715673207, Perimeter = 10.694410612718926
2025-05-11 23:14:07.825 [main] ERROR lt.esdc.shapes.reader.InputDataReader - Error processing line: Oval: «1.0; 1.0; 1.0; 1.0»; - Points must not be identical
2025-05-11 23:14:07.825 [main] INFO  lt.esdc.shapes.ShapeApp - Shapes processing completed successfully
